,label
68983,0
43444,1
66976,1
69961,1
58752,0
65147,0
95450,1
46968,0
101142,1
75053,0
21588,1
66568,0
89243,1
33475,1
39885,0
63675,1
68941,0
51109,1
73258,1
100178,0
119417,1
19839,0
62428,0
201,1
81062,1
94693,0
20371,0
82560,1
63875,1
48213,0
6432,1
106926,0
81130,1
115004,0
85868,0
10407,0
95136,1
44087,0
26682,1
66031,1
14154,1
111457,0
30272,1
103470,1
6537,1
60995,0
2327,0
60088,1
505,1
79050,1
51386,0
75288,0
122857,0
117899,1
63599,1
63779,1
86285,0
12490,0
93022,1
106875,0
3804,0
38476,1
72875,0
20078,0
26493,1
16731,1
95629,0
470,1
87042,1
85123,1
5996,1
105552,0
53328,1
123106,1
18412,1
9573,0
56798,1
102133,0
51511,0
111524,1
65996,1
18713,0
9341,0
42188,0
100393,1
57953,0
34093,1
80996,1
82134,0
14107,1
37811,0
38489,1
33564,1
36198,1
17860,1
43044,0
66593,0
3200,0
27665,1
66675,0
73219,1
88945,1
45157,1
118360,0
105344,0
63515,1
96046,0
62801,0
31003,1
80284,1
53564,1
96098,0
62731,1
123046,0
39012,0
12212,0
48050,0
18469,1
52419,1
62177,0
71603,1
980,1
23463,0
35406,1
117242,0
21885,0
75887,1
87495,0
43104,1
50878,1
101093,1
73047,0
70586,0
19911,0
56051,0
25452,0
31494,1
64298,0
62732,1
8851,1
6203,1
98113,0
25231,1
46821,1
51019,1
49519,1
91347,0
85845,0
26157,1
33471,1
102059,0
75041,0
78559,0
37316,0
99957,1
91480,0
99046,1
74722,1
76291,0
92672,0
59425,1
107551,1
119381,0
10393,0
38944,0
6329,1
121862,0
18588,0
49569,1
92183,1
104972,0
43901,0
98149,0
88554,1
17419,1
4639,1
37577,0
58839,0
22536,1
97020,0
25543,0
95348,1
18554,1
54062,1
7215,1
90511,0
119202,1
79838,1
117117,0
42450,0
121153,1
91905,1
55523,0
47208,0
62302,0
119815,1
114901,0
26288,0
44964,1
26718,1
50179,0
45789,1
41318,1
96500,1
59268,1
108674,1
55583,0
20330,0
91129,0
123324,1
85594,0
77157,1
121170,1
108792,1
67516,1
62411,0
63120,1
87524,0
31193,1
11699,0
106006,0
92629,0
29946,0
52821,1
61974,0
42405,0
105413,1
15435,1
70107,1
2807,1
4971,1
104187,1
117948,1
99602,0
110031,1
61371,0
29534,1
58080,1
74195,1
86327,0
100126,0
59904,1
105828,0
61317,0
6965,1
99363,0
103685,0
86738,1
72987,0
114162,1
10843,0
71661,1
46466,1
7515,1
31447,1
7033,1
64847,0
100442,1
32118,0
108504,0
50962,1
111653,1
84507,0
13072,1
69559,0
30570,1
59350,1
81391,0
13274,1
25730,0
105321,0
73738,0
4472,1
42379,0
109246,1
36707,0
40054,1
116844,1
46013,1
61423,0
120887,1
89901,0
114799,0
99845,1
21589,1
64621,0
87861,0
85979,0
104296,1
51868,0
12734,0
82906,1
40859,1
108630,0
31894,0
11500,0
106604,1
13779,1
40872,1
53210,1
64053,1
69418,0
115162,0
73208,1
70101,1
42713,0
44652,1
58845,0
67451,1
101317,1
34784,1
109561,1
80110,1
56372,1
71789,1
88539,1
107152,0
112972,0
116853,1
84350,0
33598,1
6418,1
70722,1
32906,1
45727,1
51079,1
13735,1
25514,0
57044,1
68074,1
19010,0
45090,1
30417,0
36306,0
36875,0
75830,1
67198,0
100460,1
8745,1
67299,1
66206,0
300,1
19649,0
87642,0
50103,0
18145,1
45549,1
21092,0
120436,0
113904,1
22771,1
28720,0
53163,1
79014,1
24468,0
876,1
60367,1
41369,1
43438,1
7162,1
41246,1
109558,1
84863,1
91078,0
122812,0
39838,0
17679,1
99797,1
42699,0
87285,1
114057,1
15666,1
69312,0
7395,1
103954,0
30731,1
9298,0
58522,1
43291,1
36117,1
39147,0
63186,0
15280,0
52005,1
33454,0
10039,0
84091,1
24856,1
84809,1
119353,0
34375,1
121852,0
120478,0
67934,1
5865,1
7864,1
61778,0
64846,0
56841,1
74785,0
139,1
66288,0
107206,0
110145,1
95581,1
27839,1
76443,1
29801,1
33883,1
71593,1
3059,1
15275,0
122332,1
19217,0
2071,0
80847,1
105283,0
76731,1
49856,0
84169,1
2538,0
17037,1
11060,0
71931,1
70728,1
116443,0
22494,1
97970,1
99945,1
83287,0
73485,1
25520,0
18532,1
36192,1
11803,0
113478,0
61004,0
378,1
122381,1
81361,0
19444,0
7320,1
28559,0
12601,0
2037,0
38850,0
87785,0
94523,0
94416,0
64956,0
30021,0
120327,0
48730,0
14724,0
85906,0
70181,1
120468,0
73815,0
95900,0
36718,0
101958,0
112709,0
52246,1
1599,0
97593,1
83810,1
114098,1
56047,0
63068,1
92948,1
10791,0
116793,1
88974,1
43583,0
85185,1
109195,1
83455,0
25668,0
74173,1
65561,1
75490,0
85334,1
58907,0
91714,1
34059,1
109552,1
25984,1
84231,0
82826,1
106117,0
30065,0
36341,0
113643,1
4050,1
56640,1
4313,0
39259,0
94109,0
8852,1
42499,0
81484,0
82042,0
3896,0
76179,1
29498,1
105951,0
33463,0
103282,0
9660,0
8256,1
52207,1
22237,1
42041,0
55683,0
44698,1
40313,0
80387,1
73801,0
80710,1
79350,0
543,1
43091,1
11362,0
78848,0
5326,1
64776,0
70944,0
79568,1
21442,0
30303,1
87617,0
61533,0
70839,0
36266,0
7863,1
31200,1
110030,1
6851,1
38855,0
10365,0
13995,1
19555,0
35424,1
108729,1
33140,0
92611,0
29479,1
90435,0
75549,0
31149,1
60725,1
93784,1
66148,0
17001,1
115415,0
108083,0
112708,0
3182,0
33,1
20370,0
29936,0
40869,1
115789,0
119219,0
73336,0
100935,0
84237,0
111791,1
53764,1
80556,1
8180,1
68726,1
94667,0
82654,1
13401,1
55628,0
107604,0
121783,0
101476,0
17063,1
80079,1
328,1
32576,0
75613,0
34194,1
33356,1
23176,1
76648,1
32757,0
84692,0
57007,1
22189,1
88832,1
106455,1
96569,1
30196,1
14038,1
89669,1
111372,0
64055,1
31156,1
32384,0
56976,1
13413,1
115341,0
99989,1
110712,0
69547,0
16929,1
49472,1
39572,1
32026,0
3245,0
15835,0
76301,0
115938,1
37072,0
29972,0
120521,0
4818,1
3580,1
36168,1
41518,1
5286,1
101801,1
7187,1
79814,1
17537,1
67896,1
11168,0
116997,1
57066,1
118025,1
70154,1
110209,1
114080,1
79960,1
100254,0
100173,0
12060,0
35888,1
12898,0
97040,0
12186,0
123754,0
109482,0
112598,0
58165,1
71705,1
108688,1
29043,0
30922,1
82107,0
49719,1
22809,1
29618,1
114437,1
103767,0
56118,0
11686,0
35726,1
113869,1
77435,0
40613,1
116301,0
31154,1
23282,1
106782,0
8893,1
5112,1
87534,0
7298,1
46781,1
121098,1
14636,0
83952,1
97969,1
64625,0
6363,1
71201,1
62321,0
58705,0
7984,1
82740,1
69155,0
98493,0
19777,0
97043,0
75539,0
63516,1
75568,0
24944,1
31338,1
29807,1
38869,0
117059,1
114479,1
68434,1
13314,1
20485,1
3287,0
45010,1
123394,1
83538,0
65576,1
66212,0
20266,0
59774,1
65999,1
75325,0
1938,0
12475,0
100143,0
65358,1
29939,0
17954,1
112985,0
113947,1
76549,0
58911,0
24462,0
69237,0
52477,1
113701,1
31129,1
75599,0
31931,0
69782,0
47044,0
98485,0
74927,0
123611,0
20441,1
32763,0
113347,1
75002,0
36099,1
6818,1
41487,1
87711,0
7623,1
92165,1
109128,0
107310,1
72654,0
41934,0
78296,0
122382,1
102866,0
44883,1
52351,1
111907,1
111144,1
109445,1
93859,1
27853,1
34014,1
74228,1
70909,1
110648,0
33723,0
99200,1
50960,1
85407,0
17983,1
49066,0
26101,1
41810,0
106168,0
89986,0
19805,0
18387,1
22726,1
96237,0
44701,1
101923,1
103430,1
98890,0
113977,1
105359,1
32680,0
47630,0
106563,1
18553,1
119918,1
120842,1
99896,1
112821,1
44861,1
49653,1
1185,1
101960,0
88455,1
92821,0
1841,0
28346,0
77756,1
116658,1
113889,1
100482,1
89235,1
34645,1
45644,1
63510,1
68137,1
97917,1
14701,0
70650,1
57025,1
43814,0
51873,0
105463,1
80014,1
82576,1
63312,1
31939,0
42463,0
26840,1
2040,0
117179,0
106162,0
9830,0
30326,1
69567,0
2448,0
19957,0
59387,1
75130,0
120055,0
550,1
97887,1
12283,0
92598,0
61611,0
55411,0
86790,1
73417,1
43875,0
23193,1
113801,1
17981,1
56484,1
65630,1
84802,1
17359,1
83280,0
104667,0
49360,1
74447,1
22509,1
92703,0
34231,1
82759,1
109254,1
3310,0
98775,0
36063,1
75843,1
104574,0
52061,1
80838,1
101564,0
76540,0
856,1
76406,1
106978,0
80915,1
9163,0
23310,1
5175,1
17901,1
23962,0
86482,0
80065,1
787,1
117911,1
60822,1
25899,0
112597,0
102496,1
74618,1
86385,0
44371,1
35642,1
47294,0
80405,1
65765,1
18607,0
55194,0
67242,0
22992,1
80100,1
27585,1
97021,0
42402,0
74840,0
78450,0
79237,0
92330,0
8563,1
18555,1
19057,0
60024,1
112634,0
122720,0
77752,1
105061,0
87386,1
59226,0
28416,0
43447,1
56524,1
43067,1
83871,1
8655,1
121033,1
114206,1
19624,0
41735,0
85357,1
62492,0
47973,0
55185,0
52346,1
70974,1
18873,0
95209,1
12765,0
106316,1
108401,0
104377,1
11968,0
58696,0
40423,1
41634,0
83218,0
63191,0
103390,1
6456,1
27185,1
71323,1
71230,1
114843,0
35615,1
113791,1
117749,0
55736,0
119672,1
115428,0
108437,1
75026,0
4813,1
64955,0
117597,0
3695,1
15875,0
92958,1
75144,0
22602,1
112545,0
99566,0
89809,1
95543,1
72086,0
70260,0
56019,0
117206,0
38387,1
95078,1
106728,0
20696,1
123088,1
81637,0
67604,0
90797,0
122150,0
88650,1
57123,0
85277,1
74121,1
47571,0
25148,1
53443,1
116707,1
13658,1
26802,1
47943,0
65686,1
2734,1
674,1
38616,1
42892,1
30647,1
83705,1
121920,0
85509,0
68046,1
115995,1
95309,1
120050,0
8341,1
39861,0
109922,1
102073,0
68241,1
115629,0
40646,1
86605,1
71597,1
45804,1
116459,0
10947,0
118207,0
64601,0
113708,1
40748,1
49415,1
95306,1
44196,0
82584,1
60401,1
32789,1
16095,0
95957,0
85912,0
49329,1
12080,0
114569,1
27825,1
82139,0
4068,1
117005,1
42571,0
4545,1
28303,0
90521,0
118064,1
11080,0
121327,1
7105,1
64365,0
118385,0
94358,0
104163,1
91918,1
5354,1
79127,0
79771,0
101194,1
99446,0
58426,1
107846,1
72611,0
24954,1
32041,0
41092,1
113396,0
106897,0
117991,1
11404,0
122966,0
65349,1
71623,1
28153,0
65297,1
87944,0
75331,0
76338,1
19028,0
4704,1
72565,0
60472,1
87827,0
49244,1
72184,0
16343,1
60789,1
101313,1
43317,1
12962,0
14483,0
15527,1
85274,1
21079,0
80238,1
16861,1
7695,1
30551,1
95970,0
102250,1
45544,1
106687,0
108503,0
70513,0
93115,1
35072,1
58370,1
61893,0
56647,1
90681,0
51562,0
70947,0
49096,0
102919,0
11406,0
77823,1
91738,1
72314,0
32038,0
58571,1
75154,0
16218,0
19936,0
46693,1
33171,0
39672,0
5884,1
109343,0
117980,1
97283,0
70853,0
38395,1
36865,0
112447,0
35563,1
20772,1
95094,1
101186,1
2320,0
120718,1
7316,1
101428,0
108916,0
104254,1
7520,1
36076,1
17119,1
39391,1
117404,0
2540,0
32339,0
107391,0
100421,1
115479,0
72564,0
646,0
93722,1
86834,1
108152,0
25662,0
101856,1
84461,0
123840,1
11501,0
593,1
38073,0
51830,1
76635,1
23381,1
123252,0
2375,0
104687,0
21569,1
44017,0
53527,1
22676,1
14727,0
43510,1
122236,0
116564,1
118677,1
95013,0
6541,1
120128,0
108662,1
98441,0
66049,1
31691,1
45412,1
70549,0
85383,0
8880,1
40990,1
26777,1
36400,0
108884,0
15571,1
20748,1
42764,0
123482,0
121355,1
55116,0
28249,0
105821,0
62632,1
62825,0
62295,0
37037,0
81485,0
88201,0
108329,0
77357,1
78368,0
30572,0
27469,1
95371,1
5533,1
21814,0
118560,0
107275,1
104321,1
28518,0
62776,0
28292,0
87072,1
58128,1
68360,1
104963,0
94300,0
76583,0
88035,0
29701,1
304,1
33900,1
104515,1
63422,1
117581,0
49517,1
85137,1
108539,0
122287,1
39589,1
43649,0
80511,1
63864,1
37105,0
122773,0
111294,0
50514,1
41973,0
36858,0
13846,1
19974,0
68152,1
72955,0
108086,0
74444,1
71002,1
87693,0
67529,1
94806,0
11978,0
114420,1
36325,0
11687,0
99852,1
46524,1
118167,0
39525,1
57513,0
9274,0
35602,1
83699,1
38539,1
69247,0
88525,1
18938,0
90740,0
41663,0
48246,0
53148,1
107239,0
91022,0
65432,1
121389,1
114480,1
6448,1
80293,1
5579,1
45218,1
5488,1
57365,0
59265,1
119125,0
10696,0
13867,1
21564,1
60394,1
72863,0
63633,1
86990,1
45407,1
122725,0
104036,1
113742,1
119874,1
107260,1
61013,0
9220,0
91318,0
22984,1
8696,1
36952,0
28104,1
33887,1
32055,0
41809,0
107950,1
105279,0
35605,1
11897,0
37593,0
65300,1
54246,0
123366,1
33201,0
101528,0
57783,0
92142,1
73512,1
54166,1
67162,0
29549,1
27065,1
58125,1
24079,0
70502,0
93258,1
317,1
94814,0
29776,1
6232,1
2132,0
79861,0
79040,1
93435,1
96413,1
120394,0
104388,1
58963,0
57814,0
45719,1
28934,0
46793,1
95592,1
29507,1
45622,1
118575,1
44005,0
87916,0
81077,1
7164,1
19741,0
4129,1
88082,0
24848,1
91421,0
109880,1
107859,1
57472,0
26487,0
77691,1
118695,0
40746,1
62503,0
114758,0
9065,1
13433,1
11335,0
75988,0
76337,1
116817,1
99953,1
72897,0
60150,1
57434,0
64915,0
82463,1
94274,0
20037,0
57552,0
117817,0
42633,1
69003,0
81279,0
29896,0
117328,0
87872,0
77721,1
79689,0
68728,1
14019,1
102508,1
15122,0
14346,0
51625,1
98542,0
50036,0
13290,1
44430,1
103982,1
30522,0
79862,0
31620,1
24828,1
15750,1
8230,1
11892,0
1749,0
52816,1
90911,0
63685,1
64628,0
60877,1
88376,0
43099,1
110408,0
3509,0
45194,1
106930,0
78955,1
76065,0
73322,1
25108,1
25770,0
47513,0
54192,0
112811,1
12181,0
17380,1
85050,1
122416,1
115532,0
83198,0
97784,1
23062,1
82065,0
8775,1
94864,0
77051,0
73556,1
6667,1
23657,0
75669,1
64785,0
84022,1
23335,1
79920,1
76127,0
6330,1
27845,1
21324,0
83097,0
118801,0
32301,0
108890,0
21729,1
70026,1
80104,1
68671,1
89755,1
76761,1
110162,1
8693,1
105189,0
21163,0
104316,1
111173,1
55293,0
74728,1
48490,0
56339,1
75300,0
95403,1
119137,0
104620,0
108686,1
114712,0
109203,0
42716,0
64387,0
96328,1
63145,1
76931,0
86689,1
58379,1
26112,1
120531,0
12993,0
53724,1
69995,1
115472,0
74985,0
42610,1
3049,1
111223,1
31277,1
103791,0
20906,1
89465,1
111578,0
105778,1
63637,1
102862,0
23001,1
104375,1
22384,1
9059,1
92046,1
70261,0
40279,0
82642,1
81089,1
55534,0
81923,0
85341,1
116940,1
121159,1
39723,0
73461,1
44210,0
68194,1
91424,0
16774,1
2110,0
100200,0
25070,1
111388,0
115499,0
112049,1
62253,0
86566,0
25810,0
59339,1
106282,1
26976,1
63154,1
38812,1
84884,1
64894,0
24676,0
29933,0
108851,1
37995,0
47200,0
2623,1
11657,0
91111,0
76300,0
98815,0
67920,1
40749,1
46018,1
38283,1
51212,0
104925,0
91687,1
40191,0
11464,0
114006,1
115906,1
20818,1
118582,1
106806,0
117955,1
30499,0
60702,1
44070,0
85139,1
17342,1
72336,0
54019,1
56708,1
46368,1
99970,1
33767,0
60509,1
82332,0
73456,1
77285,1
118383,0
117646,0
37502,0
13670,1
75229,0
107884,1
22751,1
97313,0
64822,0
91941,1
34188,1
73018,0
88470,1
44207,0
109050,0
10424,0
105257,0
13166,1
20160,0
104884,0
82601,1
97672,1
54092,1
112390,0
118802,0
69303,0
87906,0
72527,0
67860,1
19915,0
68085,1
49065,0
105176,0
50932,1
111231,1
97157,0
1025,1
52288,1
60913,0
56403,1
50490,1
24786,1
113508,1
95302,1
36209,1
40688,1
49006,0
54549,0
44766,1
1807,0
25614,0
34634,1
92606,0
41859,0
68421,1
9526,0
117312,0
989,1
93467,1
39168,0
31960,0
112702,0
25985,1
48138,0
99069,1
50642,1
21917,0
84188,0
19390,0
59360,1
76376,1
45352,1
64109,1
74252,1
111295,0
117914,1
68690,1
116542,1
14186,1
116849,1
113760,1
41440,1
83200,0
12064,0
106961,0
101920,1
47079,0
2532,0
72344,0
80967,1
52411,1
22239,1
111277,1
120281,0
32708,0
41879,0
28227,0
69114,0
53660,1
9043,1
81134,1
31290,1
1820,0
14447,0
21502,0
117741,0
114188,1
29242,0
77699,1
17785,1
18828,0
8926,1
47546,0
73846,0
77890,1
87863,0
19620,0
35444,1
56990,1
50023,0
106229,1
10898,0
52673,1
21146,0
116760,1
40826,1
46173,1
70445,0
66854,1
97665,1
62174,0
52605,1
14985,0
47891,0
49808,1
49152,0
6767,1
61057,0
83922,1
25621,0
60400,1
98776,0
44184,0
50761,1
16622,1
58273,1
85614,0
35433,1
53567,1
52213,1
51679,1
106954,0
97675,1
103989,1
89775,1
113990,1
18530,1
37882,0
105671,0
73069,0
75994,0
90303,0
42436,0
20590,1
76278,0
20136,0
18005,1
15110,0
45527,1
59370,1
107556,1
29073,0
104024,1
66078,0
121237,1
48292,0
949,1
26780,0
83540,0
109941,1
105695,0
90343,0
70881,0
40841,1
88753,1
54158,1
25567,0
72431,0
8581,1
10874,0
98168,0
73458,1
8266,1
49867,0
89979,0
73160,1
88910,1
94173,0
69796,0
186,1
115618,0
122615,1
102000,0
76630,1
15881,0
43332,1
67174,0
87382,1
101090,1
65009,0
112215,0
116871,1
107080,0
117253,0
73276,1
96744,1
46160,1
11888,0
103855,0
44343,1
86628,1
118319,0
2891,1
56818,1
85593,0
98295,0
112395,0
34140,1
54600,0
65579,1
71704,1
67491,1
42848,1
53290,1
101580,0
26322,0
57586,0
3912,0
65784,1
111029,0
75275,0
48881,0
100334,0
20475,1
20472,1
115394,0
89737,1
8917,1
37017,0
23771,0
61163,0
59781,1
64827,0
11469,0
38018,0
31776,0
67582,0
104815,0
83584,0
108632,0
59411,1
39067,0
54559,0
100008,1
40810,1
86841,1
74250,1
19030,0
41673,0
2285,0
32482,0
48862,0
123515,0
36260,0
9562,0
15236,0
24037,0
22605,1
54511,0
57682,0
42461,0
93727,1
92562,0
121917,0
78099,1
1002,1
19356,0
45535,1
54368,0
85387,0
14949,0
81041,1
119449,1
35275,1
37108,0
106140,1
106065,0
115446,0
9798,0
68715,1
21537,0
71978,1
28744,0
121661,0
115562,0
12794,0
111542,1
110150,1
12387,0
33925,1
38161,0
109523,0
57386,0
34190,1
115925,1
63889,1
62178,0
72524,0
101962,0
2062,0
36387,0
92638,0
37313,0
112365,0
99032,0
97112,0
25918,0
89760,1
87309,1
119126,0
17284,1
103992,1
102121,0
22691,1
93478,1
94976,0
26351,0
109713,1
15041,0
13139,1
11241,0
99037,0
98555,0
42172,0
62608,1
103378,1
43535,1
92310,0
97061,0
48140,0
16723,1
50143,0
33391,0
67783,0
74587,1
111358,0
114426,1
5979,1
99190,1
98928,0
18063,1
51041,1
80087,1
21255,0
47557,0
3337,0
92927,0
119294,0
50359,0
9158,1
120951,1
92196,1
64201,1
99457,0
19274,0
47627,0
113019,1
44050,0
6452,1
115694,0
82855,1
94331,0
74125,1
3733,1
57551,0
55865,0
58797,0
122918,0
41840,0
1424,1
110178,1
8841,1
15465,1
119697,1
2401,0
55725,0
32082,0
93669,1
88156,0
93862,1
2687,1
35261,1
104281,1
1586,0
32111,0
14165,1
1107,1
75637,1
14044,1
64787,0
45410,1
72773,0
112494,0
84428,0
110797,0
46864,1
56428,1
34116,1
95294,1
58350,1
99231,1
9810,0
37646,0
61812,0
27971,1
106051,0
110450,0
171,1
76375,1
49627,1
81665,0
119779,1
24882,1
4577,1
4118,1
3686,1
97615,1
61819,0
83722,1
73977,0
114417,1
33294,1
18820,0
13203,1
90592,0
56345,1
107464,0
85578,0
91278,0
1522,1
33940,1
104385,1
25007,1
65910,1
46979,0
98946,0
117620,0
30081,0
25371,0
94183,0
92082,1
88103,0
12269,0
75255,0
69115,0
68022,1
118495,0
40939,1
87903,0
99891,1
2893,1
42224,0
12070,0
94967,0
68253,1
96065,0
103140,0
24059,0
55538,0
92970,1
38670,1
49342,1
56135,0
13766,1
59359,1
4293,0
45575,1
38854,0
30044,0
26563,1
53069,1
49842,1
35761,1
23673,0
70999,1
23314,1
82955,1
62897,0
31065,1
106318,1
39246,0
89066,1
118135,0
59877,1
22893,1
91813,1
60641,1
67420,1
98973,0
36690,0
120539,0
94393,0
713,1
44212,0
44981,1
108980,0
104209,1
8008,1
113734,1
94479,0
32451,0
87226,1
108654,1
64371,0
58518,1
1449,1
74750,1
60570,1
12074,0
7633,1
114550,1
80894,1
111378,0
63157,1
109623,1
74766,0
22379,1
43523,1
117687,0
105108,0
37114,0
99347,0
107857,1
27498,1
68217,1
13254,1
27977,1
51085,1
90134,0
70563,0
73257,1
39243,0
56349,1
1860,0
66963,1
39649,0
5181,1
42831,1
119618,1
91322,0
75534,0
77003,0
82650,1
42695,0
59933,1
1387,1
106793,0
28966,0
117458,0
105960,0
62558,1
111485,0
24052,0
100673,1
17575,1
101144,1
51598,1
24554,0
68701,1
90578,0
28052,1
4280,0
80156,1
93107,1
67885,1
105110,0
45754,1
2442,0
30079,0
83979,1
46810,1
15365,1
92033,1
121779,0
41796,0
68195,1
117742,0
104719,0
37937,0
27334,1
19428,0
19260,0
14324,0
10641,0
87473,1
107875,1
82363,1
110278,0
26124,1
70931,1
47748,0
109041,0
23663,0
65775,1
103635,0
62921,0
23295,1
111343,0
14704,0
12758,0
59647,1
78397,0
399,1
46587,1
73581,0
91247,0
107836,1
8440,1
96424,1
5464,1
111012,0
6143,1
52724,1
68672,1
96386,1
27741,1
85153,1
105914,0
28254,0
54338,0
104948,0
14317,0
30204,1
37978,0
100305,0
1146,1
91162,0
69788,0
2756,1
81598,0
80524,1
20322,0
109441,1
71768,1
53540,1
75272,0
31215,1
37240,0
45295,1
27964,1
97248,0
23882,0
44641,1
66183,0
57060,1
31963,0
120053,0
76855,1
40607,1
64363,0
80867,1
76275,0
21461,0
51895,0
60619,1
9161,1
104243,1
53769,1
29305,0
16578,1
54640,0
42118,0
57195,0
20352,0
59898,1
69525,0
115478,0
25220,1
14792,0
28072,1
94589,0
94356,0
